0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5836e-05,2.5099e-05,3.9779e-05,6.3045e-05,9.992e-05,0.00015836,0.00025099,0.00039779,0.00063045,0.0009992,0.0015836,0.0025099,0.0039779,0.0063045
3.1673e-05,5.0198e-05,7.9558e-05,0.00012609,0.00019984,0.00031673,0.00050198,0.00079558,0.0012609,0.0019984,0.0031673,0.0050198,0.0079558,0.012609
4.7509e-05,7.5297e-05,0.00011934,0.00018914,0.00029976,0.00047509,0.00075297,0.0011934,0.0018914,0.0029976,0.0047509,0.0075297,0.011934,0.018914
6.3345e-05,0.0001004,0.00015912,0.00025218,0.00039968,0.00063345,0.001004,0.0015912,0.0025218,0.0039968,0.0063345,0.01004,0.015912,0.025218
7.9182e-05,0.00012549,0.0001989,0.00031523,0.0004996,0.00079182,0.0012549,0.001989,0.0031523,0.004996,0.0079182,0.012549,0.01989,0.031523
9.5018e-05,0.00015059,0.00023867,0.00037827,0.00059952,0.00095018,0.0015059,0.0023867,0.0037827,0.0059952,0.0095018,0.015059,0.023867,0.037827
0.00011085,0.00017569,0.00027845,0.00044132,0.00069944,0.0011085,0.0017569,0.0027845,0.0044132,0.0069944,0.011085,0.017569,0.027845,0.044132
0.00012669,0.00020079,0.00031823,0.00050436,0.00079936,0.0012669,0.0020079,0.0031823,0.0050436,0.0079936,0.012669,0.020079,0.031823,0.050436
0.00014253,0.00022589,0.00035801,0.00056741,0.00089928,0.0014253,0.0022589,0.0035801,0.0056741,0.0089928,0.014253,0.022589,0.035801,0.056741
0.00015836,0.00025099,0.00039779,0.00063045,0.0009992,0.0015836,0.0025099,0.0039779,0.0063045,0.009992,0.015836,0.025099,0.039779,0.063045
0.0001742,0.00027609,0.00043757,0.0006935,0.0010991,0.001742,0.0027609,0.0043757,0.006935,0.010991,0.01742,0.027609,0.043757,0.06935
0.00019004,0.00030119,0.00047735,0.00075655,0.001199,0.0019004,0.0030119,0.0047735,0.0075655,0.01199,0.019004,0.030119,0.047735,0.075655
0.00020587,0.00032629,0.00051713,0.00081959,0.001299,0.0020587,0.0032629,0.0051713,0.0081959,0.01299,0.020587,0.032629,0.051713,0.081959
0.00022171,0.00035138,0.00055691,0.00088264,0.0013989,0.0022171,0.0035138,0.0055691,0.0088264,0.013989,0.022171,0.035138,0.055691,0.088264
0.00023754,0.00037648,0.00059669,0.00094568,0.0014988,0.0023754,0.0037648,0.0059669,0.0094568,0.014988,0.023754,0.037648,0.059669,0.094568
0.00025338,0.00040158,0.00063646,0.0010087,0.0015987,0.0025338,0.0040158,0.0063646,0.010087,0.015987,0.025338,0.040158,0.063646,0.10087
0.00026922,0.00042668,0.00067624,0.0010718,0.0016986,0.0026922,0.0042668,0.0067624,0.010718,0.016986,0.026922,0.042668,0.067624,0.10718
